,UCB1T,TS,RS,RS OPT,TS gamma,RS gamma,RS OPT gamma,meta UCB1T,meta TS,meta RS,meta RS OPT
steady,2.25E+02,1.00E+02,1.13E+02,7.20E+01,1.31E+03,5.92E+02,6.66E+02,2.32E+02,1.64E+02,1.72E+02,8.76E+01
nonsteady,7.58E+03,1.24E+04,6.57E+03,6.02E+03,2.79E+03,1.25E+03,1.38E+03,2.23E+03,1.44E+03,1.38E+03,8.43E+02
